,instruction,output
5194,User asked: 'I got some items this morning but the payment says pending',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5195,User asked: 'Why is the payment I made still pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5196,User asked: 'Is there a problem that makes my payments show pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5197,User asked: 'I made a purchase earlier today but it is still listed as pending- when will it go through?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5198,User asked: 'Why didn't my payment process',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5199,User asked: 'I have a payment that hasn't went through yet.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5200,User asked: 'I made a payment but it's still pending',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5201,User asked: 'How long does it take for a new purchase to stop being considered pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5202,User asked: 'I was wondering how long does it take for a payment to go thru? It seems my last payment is stuck and hasn't moved.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5203,User asked: 'What is the cause of the delay in applying my card payment to my account?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5204,User asked: 'Why would my payment still show as pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5205,User asked: 'I have a payment which has not been approved.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5206,User asked: 'What does it mean when it says I have a payment pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5207,"User asked: 'There is a pending payment on my account, what does this mean?'",Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5208,User asked: 'Why has my card payment not yet been applied to my account?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5209,User asked: 'I bought some things in the morning but the payment shows as pending',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5210,User asked: 'I don't know what a pending payment is.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5211,User asked: 'why do I have a pending payment?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5212,User asked: 'How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5213,User asked: 'I purchases several items today. Why are they still showing pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5214,User asked: 'There is a payment showing as pending and hasn't posted for a few days.  When will it post?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5215,"User asked: 'I have made a payment by my card, and its still pending since a long time. Could you please tell me when it will process.'",Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5216,User asked: 'I completed a payment with my card a while ago. It's still showing up as pending. What time frame does this normally take? It doesn't appear to have worked.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5217,User asked: 'The payment on my card shows as pending.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5218,User asked: 'I have a payment that is still pending',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5219,User asked: 'I bought something this morning and the payment is still pending',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5220,"User asked: 'There is a pending transaction on my account, what does this mean?'",Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5221,User asked: 'I made a payment that's pending. Will it go through?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5222,User asked: 'It's been a few days since I've tried to pay a seller but the funds aren't going through. What is happening?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5223,User asked: 'I made a payment that seems to be stuck. It's been a couple of days already. Can you tell me how long it will take?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5224,User asked: 'I made a payment that is not yet complete.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5225,User asked: 'Why hasn't my payment shown up yet?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5226,User asked: 'What is the meaning of a pending payment?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5227,User asked: 'My payment is in the app but hasn't gone through yet',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5228,User asked: 'How many days does a regular transaction take to complete?  I see a pending payment that hasn't changed in the last several days.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5229,User asked: 'Why hasn't my payment gone through yet?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5230,User asked: 'My payment's stuck on pending.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5231,User asked: 'Is there a reason my payment is still pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5232,User asked: 'What's the pending length for credit transactions? I've had one in my pending category now for days and it won't move to processed.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5233,User asked: 'How long does it take for a payment to change from pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5234,User asked: 'My credit card payment has been in pending status for a super long time.  I don't get it.  Why is it like this?  When will it go through?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5235,User asked: 'Why hasn't payment gone through yet?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5236,User asked: 'Why is this payment pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5237,User asked: 'Why is the payment from my card still pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5238,User asked: 'What is the pending payment on my card about?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5239,"User asked: 'It says that my payment is pending, what does that mean?'",Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5240,User asked: 'I tried to make a payment with my card and it was declined. Why is it pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5241,User asked: 'Why is it saying I have a pending payment?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5242,"User asked: 'Is there something wrong with my card payment? It's been pending a really, really long time.'",Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5243,User asked: 'My purchases from this morning still have pending payments.',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5244,User asked: 'When will my pending payment finish?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5245,"User asked: 'I used my card to make a payment a while ago and its still pending, Why is it taking so long?'",Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5246,User asked: 'How long does it take for a purchase to go from pending to authorised?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5247,"User asked: 'My card has been pending for a while, what should I do?'",Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5248,User asked: 'There is a payment that i made that i noticed has not gone thru yet. Can i ask why?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5249,"User asked: 'My card payment is just showing up as pending and it has been a while , what's going on with that, it should be going through at some point?'",Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5250,User asked: 'How long will my payment be pending?',Pending payments may take up to 3 days to settle. Kindly wait or reach out if it delays further.
5251,"User asked: 'My phone was stolen, what should I do first?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5252,"User asked: 'My phone was stolen, what should I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5253,"User asked: 'I lost my phone, what should I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5254,"User asked: 'Someone has stolen my phone, what should I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5255,User asked: 'I think I lost my phone.  Is there a way to prevent anyone from getting into my account on it?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5256,User asked: 'My phone was stolen! What do I need to do?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5257,User asked: 'Can I use the app without my phone?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5258,"User asked: 'My bag was stolen from me yesterday, so I can't use any apps or anything. I need some help.'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5259,"User asked: 'Someone stole my phone, what is my next step?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5260,"User asked: 'I forgot my phone at the hotel, so I can't access the app.'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5261,"User asked: 'Help, my phone was stolen, please advise!'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5262,User asked: 'my phone was lost',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5263,User asked: 'I need help- I got mugged yesterday and they took everything so I can't use the app.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5264,User asked: 'I can't find my phone and I'm worried someone is going to use it',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5265,User asked: 'I lost my phone! Will my card still work?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5266,User asked: 'I can not find my phone or it has been stolen.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5267,User asked: 'I can't use the app because I got mugged yesterday and they took everything. Please help.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5268,User asked: 'Can you tell me what i steps i should take since my card was stolen?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5269,User asked: 'What do I do if my phone was stolen?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5270,User asked: 'What do I do if I can't access the app?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5271,User asked: 'What do I do if my phone is stolen?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5272,User asked: 'I left my phone somewhere and can't use the app.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5273,User asked: 'Someone mugged my and stole everything.  I can't use the app.  What should I do?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5274,"User asked: 'I got mugged yesterday and they took everything. I can't use the app, so I need some help.'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5275,User asked: 'I am not sure where my phone is.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5276,"User asked: 'If my phone was stolen, do I need to do anything?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5277,User asked: 'Please help!  I was mugged and everything stolen.  What do I do to stop them from accessing my account?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5278,User asked: 'I have an emergency and lost my phone.  I need help accessing my account.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5279,"User asked: 'stolen phone, what should i do'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5280,User asked: 'Help me.  My phone has been lost or stolen!',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5281,User asked: 'My app was on the phone and I was mugged.  What do I do?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5282,User asked: 'I don't have the device I used to log onto the platform so I can't access it.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5283,User asked: 'I lost my phone. Can I use my card without the app?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5284,User asked: 'What should I do if my smart phone is lost or stolen?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5285,"User asked: 'If I lost my phone, what steps do I need to take to stop someone from using my account?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5286,User asked: 'Can someone else use my account if they have my phone?  I lost mine.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5287,"User asked: 'My phone was stolen, help!'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5288,"User asked: 'phone is gone, what should i do'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5289,"User asked: 'I'm currently not in possession of my phone, is it still possible to go about things normally without access to the app?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5290,User asked: 'I lost my phone. Can I disable to app?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5291,"User asked: 'phone is gone, dont want others to access account information'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5292,User asked: 'Is there something that I can do since my phone was stolen yesterday?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5293,User asked: 'I think my phone was stolen. What can I do?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5294,User asked: 'Is it possible to access my phone from the hotel/',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5295,User asked: 'I lost my phone. What do I need to do?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5296,User asked: 'Someone has taken my phone from my hotel room!',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5297,User asked: 'Can my account me accessed by a thief?  I was mugged.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5298,User asked: 'My phone is missing or stolen.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5299,User asked: 'I misplaced my phone so I can't use the app! Does this mean I can't use my card?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5300,User asked: 'I left my phone at the hotel I was staying at so I can't use the app!',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5301,"User asked: 'My phone was stolen yesterday, can you help me with this?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5302,User asked: 'I was recently mugged and would like to know if I have to have access to the app to use your services and how I would go about setting up your services on a new device belonging to a current user?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5303,User asked: 'My phone is at the hotel.  How can I use the app?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5304,User asked: 'My cards were stolen',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5305,User asked: 'My phone has been lost or stolen',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5306,User asked: 'my phone has been stolen by someone',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5307,User asked: 'What should I do if someone stole my phone?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5308,User asked: 'My phone has been stolen.  How can I make sure no one uses my account from it?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5309,User asked: 'Can I use your services without access to the app?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5310,User asked: 'I was mugged.  They took everything.  I can't use the app.  What do I do?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5311,User asked: 'How do I protect my phone from someone using it after I lost it.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5312,User asked: 'My phone was left behind.  Can I still use my card?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5313,User asked: 'phone is gone',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5314,User asked: 'I just replaced my phone so do I have to make a new account?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5315,"User asked: 'Everything I have was stolen yesterday making it so I don't have access to the app, what should I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5316,User asked: 'I don't have my mobile device and am unable to make the payment because I forgot my details.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5317,User asked: 'What do I do if I lost my phone?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5318,User asked: 'I don't have my cell phone with me so I cannot access the system to complete the transaction.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5319,"User asked: 'I no longer have my phone, what should I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5320,User asked: 'I lost my phone and need help so someone doesn't access my account.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5321,User asked: 'Yesterday I had my phone stolen.  Please advise what I should do.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5322,User asked: 'I lost my phone and need help protecting it.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5323,User asked: 'I don't know where my phone is.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5324,User asked: 'I can't use the app because I got mugged yesterday and they took everything. I need some help.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5325,User asked: 'What should I do if my phone is lost or stolen?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5326,User asked: 'What do I do if I cannot access the app?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5327,User asked: 'I have lost my phone.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5328,User asked: 'what to do about stolen phone',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5329,"User asked: 'I have lost my phone, what steps can I take to prevent someone using my account?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5330,User asked: 'Is there anything to do because my phone was stolen?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5331,User asked: 'Help!  I think my phone may be stolen or lost!',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5332,"User asked: 'I no longer have my phone with the app, what should I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5333,User asked: 'Can I still access the app even though my phone was stolen?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5334,User asked: 'What do I do to lock my phone after losing it so my account isn't accessed',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5335,User asked: 'I no longer have my phone.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5336,"User asked: 'I cannot get to my app, what should I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5337,User asked: 'Yesterday my phone was stolen from me :( What do i need to do about it?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5338,"User asked: 'My phone got stolen, how can I use the app?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5339,"User asked: 'My phone was stolen, what can I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5340,User asked: 'I accidentally left my phone at the hotel so now I'm not able to use the app.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5341,User asked: 'How can I access my account when I have lost my phone?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5342,User asked: 'I have lost my phone or it has been stolen.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5343,User asked: 'I can't find my phone; what can I do to prevent someone from accessing my account on it?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5344,User asked: 'What should I do if I lost my phone?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5345,User asked: 'My phone was left at a hotel and I can't access the app.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5346,"User asked: 'Hi, I lost my phone yesterday, what can I do to stop someone using my account on it?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5347,"User asked: 'I cannot find my phone, what should I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5348,User asked: 'My phone is missing.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5349,User asked: 'Do I need my phone to use the app?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5350,"User asked: 'left my phone at hotel, cant use app'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5351,User asked: 'How do I use my card if I lost my phone?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5352,User asked: 'hello I have lost my phone and I'm worried someone's going to steal money from me',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5353,"User asked: 'If I lost my phone, how can I stop someone from accessing my account through the app?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5354,"User asked: 'My phone was taken yesterday, is there something that I need to do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5355,User asked: 'I can't use the app.  My phone is lost at the hotel.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5356,"User asked: 'If I lost my phone at the hotel, can I still use the app?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5357,User asked: 'I'm not sure where my phone is.  Can someone else use the app?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5358,"User asked: 'my phone was taken yesterday, what should I do about my account?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5359,"User asked: 'My phone is lost I don't want someone to use my account, what can I do?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5360,User asked: 'My phone has been stolen.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5361,User asked: 'I just replaced my phone but how do I use my card information?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5362,User asked: 'What do I do if my smart phone was stolen?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5363,User asked: 'How can I stop someone from using my card after I lost it yesterday.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5364,User asked: 'Do I need to do anything? My phone was stolen yesterday.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5365,User asked: 'Help!  What should I do?  My phone was stolen yesterday.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5366,User asked: 'I left my phone at the hotel.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5367,User asked: 'Everything was stolen from me.  I can't use the app.  Please advise.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5368,User asked: 'My things were stolen and I need to know if I can still use this app.',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5369,"User asked: 'lost my phone, what is account security?'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5370,User asked: 'I lost my phone.  What do I do to block someone else from using my account?',Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5371,"User asked: 'phone is at a hotel, can i still use app'",Please report your lost phone and we’ll block mobile access. You can also dial *xxx# from another line to secure your account.
5372,User asked: 'How long does it take to get a refund on something I bought?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5373,User asked: 'Please tell me how to get a refund for something I bought.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5374,User asked: 'Can i cancel this purchase?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5375,User asked: 'I want to return an item for a refund can I do that?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5376,User asked: 'Can I request a refund',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5377,"User asked: 'I am not sure how this will work, but I have not received a product I ordered.  I want a refund, but should I just cancel the payment?'","To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5378,User asked: 'Where do I go for a refund?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5379,User asked: 'I'm interested in learning more about product refunds.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5380,User asked: 'do you offer refunds? i would like to return purchase.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5381,User asked: 'What's the procedure for canceling a purchase?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5382,User asked: 'I need to cancel a purchase that I made the other day.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5383,User asked: 'Hello. How do i go about getting a refund of an item i bought ? I want to cancel the payment since i have not received the item yet.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5384,"User asked: 'I need a refund and cancel a transaction on an item I purchased and i need it as soon as possible, please!'","To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5385,User asked: 'i bought the wrong size and would like a refund',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5386,User asked: 'I want to know about your refund policy.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5387,User asked: 'Can I cancel an order if I haven't received the item yet? And how can I get my money back? Please help. Thanks.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5388,"User asked: 'Hey I want to get a refund on something I bought, but not sure how to go about it. Can you please just cancel the payment, I have not received the item yet.'","To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5389,User asked: 'I am quite aggravated that I ordered online almost a month ago and I never got my package and I paid for it. I would really appreciate it if I could get a full refund back now.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5390,User asked: 'My statement has a charge that shouldn't have been made.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5391,User asked: 'My product hasn't arrived even though I ordered it a while ago. I want a refund!',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5392,User asked: 'Is there a way you can have money from a purchase I made refunded to my account.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5393,User asked: 'I've changed my mind on an item.  How do I get a refund?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5394,"User asked: 'I decided I no long want something that I ordered, and want a refund. How do I go about doing that?'","To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5395,User asked: 'How do I get a refund for something I bought?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5396,User asked: 'I made a purchase recently but I have decided that I'm not buying it and I need to receive my money back. Can you please give me a refund ASAP. It's extremely urgent.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5397,User asked: 'Please help me get a refund?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5398,User asked: 'What is the refund policy?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5399,User asked: 'I just bought an item and changed my mind.  I have not received it yet how can I get refunded.  Thank you.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5400,User asked: 'Are refunds allowed for certain items.',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
5401,User asked: 'I need to cancel a purchase?',"To request a refund, go to the transaction in the app and tap 'Dis__pute'. You can also call our helpline."
